Poczatek
Losowe
Wartosc kroku,Czas wykonywania algorytmu
3000,1.0289270877838135
4000,1.8321878910064697
5000,2.889636993408203
6000,4.055769681930542
7000,5.875729322433472
8000,7.4053521156311035
9000,9.137555837631226
10000,11.346189498901367
11000,13.638832092285156
12000,16.72933602333069
13000,19.136125802993774
14000,22.222841501235962
15000,26.141759634017944
0,0.0
1000,0.11110067367553711
2000,0.44340968132019043
3000,1.0209376811981201
4000,1.847688913345337
5000,2.8771841526031494
6000,4.1574320793151855
7000,5.5851380825042725
8000,7.3819334506988525
9000,9.429200410842896
10000,11.28540563583374
11000,13.731021404266357
12000,16.766008377075195
13000,19.217316150665283
14000,23.22910714149475
15000,25.561851501464844
0,0.0
1000,0.11010003089904785
2000,0.4449756145477295
3000,1.0330829620361328
4000,1.8366789817810059
5000,2.86202335357666
6000,4.064256191253662
7000,5.66081166267395
8000,7.390747547149658
9000,9.358396768569946
10000,11.276661396026611
11000,13.966760873794556
12000,16.715521097183228
13000,19.580453157424927
14000,22.71445107460022
15000,25.644249439239502
0,0.0
1000,0.11009979248046875
2000,0.4454047679901123
3000,1.0362937450408936
4000,1.8322854042053223
5000,2.86505126953125
6000,4.151535987854004
7000,5.7494423389434814
8000,7.2050721645355225
9000,9.344635009765625
10000,11.564671277999878
11000,13.7438485622406
12000,16.339836835861206
13000,19.67908215522766
14000,22.687063455581665
15000,26.010388135910034
0,0.0
1000,0.12111043930053711
2000,0.46442222595214844
3000,1.0409471988677979
4000,1.865696668624878
5000,2.906144857406616
6000,4.210908889770508
7000,5.731839418411255
8000,7.372824668884277
9000,9.531957149505615
10000,12.006123781204224
11000,14.206814765930176
12000,16.298258304595947
13000,19.737375497817993
14000,22.75845432281494
15000,26.28151774406433
